SMILES,BIOACT_PCHEMBL_VALUE,CMP_CHEMBL_ID
Oc1ccccc1CNCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,8.10,CHEMBL1783239
CCN(C)C(=O)Oc1cccc2c1CCN2CCC(=O)OC,6.15,CHEMBL2220388
CCCNC(=O)Oc1ccc(CC(=O)N2CCN(Cc3ccccc3)CC2)cc1,4.49,CHEMBL1629785
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,6.34,CHEMBL1929421
O=C1NC2=C(CNC/C2=C\c2cccc3ccccc23)C(c2cccc3ccccc23)N1,5.27,CHEMBL2385773
CN(C)c1ccc(-c2cc(=O)c3ccc(OCCCN4CCN(CCCNc5c6c(nc7ccccc57)CCCC6)CC4)cc3o2)cc1,6.07,CHEMBL2436708
Cc1ccc(/C=C2\COc3cc(OCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)cc1,7.26,CHEMBL3093179
COc1ccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc1OC,4.94,CHEMBL2047230
Oc1ccccc1CNCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,7.73,CHEMBL2147456
CCN1CC2=C(NC(=S)NC2c2ccc(Cl)cc2Cl)/C(=C/c2ccc(Cl)cc2Cl)C1,5.44,CHEMBL2417666
CN1CC[C@@H](C(=O)N2C/C(=C\c3ccc(F)cc3)C(=O)[C@@]3(C2)[C@H](c2ccc(F)cc2)CN(C)[C@]32C(=O)Nc3ccccc32)[C@@]12C(=O)Nc1ccccc12,5.11,CHEMBL3115037
COc1cc(=O)oc2cc(OCCN3CCN(CC(=O)Nc4c5c(nc6ccccc46)CCCC5)CC3)ccc12,5.29,CHEMBL2391491
COc1ccc(OC)c(-c2nnc(-c3ccc(O)cc3O)s2)c1,4.20,CHEMBL2337263
CN1CCN(CCCOc2ccc3c4c(nccc24)-c2ccccc2C3=O)CC1,5.26,CHEMBL1770208
O=C(NC1CCN(Cc2ccccc2)CC1)c1cc2cc([N+](=O)[O-])ccc2oc1=O,4.66,CHEMBL3087906
CN1CCC=C(c2nsnc2OCCCOCCCCC(=O)NCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)C1,8.23,CHEMBL589352
COc1cc(/C=C/C(=O)NCCCNc2c3c(nc4ccccc24)CCCC3)ccc1OCCCCCCO[N+](=O)[O-],7.71,CHEMBL2171316
COC(=O)C1=C2Nc3ccccc3[C@@]23CCN2C[C@]4(C[C@@H]5C[C@]67CC(=O)O[C@H]6CCN6CC[C@@]8(c9cccc(OC)c9N(C4)[C@@H]58)[C@@H]67)[C@@H]4OCC[C@]4(C1)[C@H]23,4.69,CHEMBL1797185
O=C(CN1CCCCC1)Nc1ccc2ncn(CCc3c[nH]c4ccccc34)c(=O)c2c1,4.89,CHEMBL1095291
c1ccc2c(CNc3ccnc(N4CCN(C5CCCCC5)CC4)n3)cccc2c1,5.41,CHEMBL1834063
Clc1ccccc1/C=C1\CNCC2=C1N=C1SC=C(c3ccccc3)N1C2c1ccccc1Cl,5.57,CHEMBL3104453
CN1c2ccc(O)cc2CN2CCCc3ccccc3C21,5.14,CHEMBL2152541
O=C1/C(=C/c2ccc(Cl)cc2)COc2cc(OCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccc21,7.35,CHEMBL3093181
CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)Cc1cc2ccc(Cl)cc2s1,7.30,CHEMBL1076243
Cc1c([C@H](C)[C@@H]2NC[C@@H](C)C[C@H]2O)ccc2c1C[C@H]1[C@H]2CC=C2C[C@@H](O)CC[C@@]21C,4.97,CHEMBL464724
CCOP(=S)(OCC)SCc1ccc2ccccc2n1,4.92,CHEMBL2268507
CCN(CCCCNc1c2c(nc3ccccc13)CCCC2)CC(=O)Nc1nc(-c2ccccc2)cs1,7.83,CHEMBL2158118
Nc1c2c(nc3c1C(c1ccccc1Cl)c1c(c4ccccc4oc1=O)O3)CCCC2,5.31,CHEMBL2425847
COCCN1CCN(c2nccc(NCc3cccc4ccccc34)n2)CC1,4.58,CHEMBL1834068
C#CCN(C)Cc1cc2cc(OCC3CCN(Cc4ccccc4)CC3)ccc2n1C,5.96,CHEMBL1929419
Oc1ccc(-c2nnc(-c3ccc(C(F)(F)F)cc3)s2)c(O)c1,4.58,CHEMBL2337278
